title,place_id,latitude,longitude,rating,reviews,types,type_ids,h3_r6,h3_r8,h3_r10,h3_r12
Woo Tender Bangkok,ChIJbw5ox8ef4jARymh3jhLbm-g,13.7364511,100.5485192,4.8,215.0,"[""Korean restaurant"",""Steak house""]","[""korean_restaurant"",""steak_house""]",8664a4b17ffffff,8864a48493fffff,8a64a48492f7fff,8c64a48492f6bff
Just A Drink Maybe - Bagel Coffee Shop,ChIJseyj3quf4jARf8Suvl56GfM,13.723061999999999,100.5284921,4.8,612.0,"[""Cafe"",""Bagel shop"",""Breakfast restaurant"",""Brunch restaurant""]","[""cafe"",""bagel_shop"",""breakfast_restaurant"",""brunch_restaurant""]",8664a4b17ffffff,8864a4b14bfffff,8a64a4b14af7fff,8c64a4b14af2dff
ข้าวต้มกุ๊ยรวยมิตร สาทร 10 : RUAY MITR Sathorn 10,ChIJ34xlB-2Z4jARFdP7CyiZSjk,13.723213099999999,100.5272052,4.5,149.0,"[""Thai restaurant"",""Asian restaurant"",""Bar""]","[""thai_restaurant"",""asian_restaurant"",""bar""]",8664a4b17ffffff,8864a4b14bfffff,8a64a4b14ad7fff,8c64a4b14ad53ff
หมูจิ้มเปรี้ยว (โรงอาหารเซนต์โยฯ),ChIJd-0f4IaZ4jARzU5kkvVX-io,13.725264399999999,100.5306543,5.0,1.0,"[""Thai restaurant""]","[""thai_restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b1406ffff,8c64a4b1406cbff
Mama Ajumma,ChIJCYGUuVOZ4jARyb_ZUJAFOWY,13.7205344,100.5302284,5.0,4.0,"[""Korean restaurant""]","[""korean_restaurant""]",8664a4b17ffffff,8864a4b14bfffff,8a64a4b14a37fff,8c64a4b14a331ff
XII Mediterranean Restaurant,ChIJHb7ybaaZ4jARh67PBhhZh8k,13.722392099999999,100.5257231,4.6,263.0,"[""Mediterranean restaurant"",""French restaurant"",""Gastropub"",""Greek restaurant"",""Italian restaurant"",""Lebanese restaurant"",""Portuguese restaurant"",""Spanish restaurant"",""Tunisian restaurant"",""Turkish restaurant""]","[""mediterranean_restaurant"",""french_restaurant"",""gastropub"",""greek_restaurant"",""italian_restaurant"",""lebanese_restaurant"",""portuguese_restaurant"",""spanish_restaurant"",""tunisian_restaurant"",""turkish_restaurant""]",8664a4b17ffffff,8864a4b14bfffff,8a64a4b14acffff,8c64a4b14accbff
FOWLMOUTH theCOMMONS Saladaeng,ChIJl7F6npCf4jARyBxliNe2iqU,13.725970799999999,100.5386259,4.1,73.0,"[""Fast food restaurant"",""Fried chicken takeaway""]","[""fast_food_restaurant"",""fried_chicken_takeaway""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b14c4ffff,8c64a4b14c491ff
Quickie - Empire Tower Sathorn,ChIJRWljMLuf4jAR95LpCY_AR0k,13.720396399999998,100.53065679999999,4.0,59.0,"[""Fast food restaurant""]","[""fast_food_restaurant""]",8664a4b17ffffff,8864a4b14bfffff,8a64a4b14a37fff,8c64a4b14a32bff
Bon Eatery,ChIJrU1swfOf4jARJJtPYPjMtMk,13.724751099999999,100.53475309999999,4.0,15.0,"[""Restaurant""]","[""restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b14177fff,8c64a4b141735ff
Cagette Canteen & Deli - French Restaurant,ChIJ4UQdrj6f4jARTlgPN36ZShg,13.716669699999999,100.54749199999999,4.6,880.0,"[""French restaurant"",""Catering food and drink supplier"",""Deli"",""Delivery service"",""Event venue"",""Restaurant"",""Wine cellar""]","[""french_restaurant"",""catering_food_and_drink_supplies"",""deli"",""delivery_service"",""event_venue"",""restaurant"",""wine_cellar""]",8664a4b37ffffff,8864a4b327fffff,8a64a4b32757fff,8c64a4b32753dff
Ms.Jigger,ChIJVaRrytaf4jARCjRe5akUUwg,13.7376949,100.5434846,4.6,282.0,"[""Restaurant""]","[""restaurant""]",8664a4b17ffffff,8864a4b145fffff,8a64a4b1696ffff,8c64a4b1696d5ff
